linha;hora;faturamento
IV;0;1529
AO;0;116.4
LA;0;7287
UT;0;8981.06
US;0;3446.6
BQ;0;829.77
BB;0;2023
VD;0;713.62
AD;0;9900.64
IN;0;0
GM;0;0
AE;0;0
AX;0;0
MO;0;0
CL;0;0
LB;0;0
DG;0;0
Y2;0;0
Y3;0;0
YI;0;0
YQ;0;0
YS;0;0
YX;0;0
YD;0;0
BD;0;0
IV;1;0
AO;1;344
LA;1;0
UT;1;0
US;1;0
BQ;1;0
BB;1;0
VD;1;0
AD;1;45760.29
IN;1;11070.9
GM;1;5399
AE;1;28753.09
AX;1;0
MO;1;0
CL;1;0
LB;1;0
DG;1;0
Y2;1;0
Y3;1;0
YI;1;0
YQ;1;0
YS;1;0
YX;1;0
YD;1;0
BD;1;0
IV;2;0
AO;2;0
LA;2;0
UT;2;0
US;2;0
BQ;2;0
BB;2;0
VD;2;0
AD;2;0
IN;2;0
GM;2;0
AE;2;467071.11
AX;2;0
MO;2;0
CL;2;0
LB;2;0
DG;2;0
Y2;2;0
Y3;2;0
YI;2;0
YQ;2;0
YS;2;0
YX;2;0
YD;2;0
BD;2;0
IV;3;0
AO;3;0
LA;3;0
UT;3;0
US;3;0
BQ;3;0
BB;3;0
VD;3;0
AD;3;0
IN;3;0
GM;3;0
AE;3;416824.3
AX;3;0
MO;3;0
CL;3;0
LB;3;0
DG;3;0
Y2;3;0
Y3;3;0
YI;3;0
YQ;3;0
YS;3;0
YX;3;0
YD;3;0
BD;3;0
IV;4;0
AO;4;17915.38
LA;4;0
UT;4;0
US;4;0
BQ;4;0
BB;4;0
VD;4;0
AD;4;0
IN;4;0
GM;4;0
AE;4;165800.63
AX;4;0
MO;4;0
CL;4;0
LB;4;0
DG;4;0
Y2;4;0
Y3;4;0
YI;4;0
YQ;4;0
YS;4;0
YX;4;0
YD;4;0
BD;4;0
IV;5;0
AO;5;6363.26
LA;5;0
UT;5;0
US;5;0
BQ;5;0
BB;5;0
VD;5;0
AD;5;1381.99
IN;5;0
GM;5;0
AE;5;731818.12
AX;5;0
MO;5;0
CL;5;0
LB;5;0
DG;5;0
Y2;5;0
Y3;5;0
YI;5;0
YQ;5;0
YS;5;0
YX;5;0
YD;5;0
BD;5;0
IV;6;0
AO;6;0
LA;6;0
UT;6;0
US;6;0
BQ;6;0
BB;6;0
VD;6;0
AD;6;0
IN;6;0
GM;6;0
AE;6;1046419.75
AX;6;0
MO;6;0
CL;6;0
LB;6;0
DG;6;0
Y2;6;0
Y3;6;0
YI;6;0
YQ;6;0
YS;6;0
YX;6;0
YD;6;0
BD;6;0
IV;7;0
AO;7;10477.33
LA;7;0
UT;7;0
US;7;0
BQ;7;0
BB;7;0
VD;7;0
AD;7;0
IN;7;0
GM;7;0
AE;7;420211.17
AX;7;0
MO;7;0
CL;7;0
LB;7;0
DG;7;0
Y2;7;0
Y3;7;0
YI;7;0
YQ;7;0
YS;7;0
YX;7;0
YD;7;0
BD;7;0
IV;8;0
AO;8;15678.99
LA;8;0
UT;8;3286.09
US;8;0
BQ;8;0
BB;8;0
VD;8;-1259.27
AD;8;6081.82
IN;8;0
GM;8;0
AE;8;366736.64
AX;8;0
MO;8;0
CL;8;0
LB;8;0
DG;8;0
Y2;8;0
Y3;8;0
YI;8;0
YQ;8;0
YS;8;0
YX;8;0
YD;8;0
BD;8;0
IV;9;0
AO;9;0
LA;9;0
UT;9;3984.12
US;9;0
BQ;9;0
BB;9;0
VD;9;0
AD;9;0
IN;9;0
GM;9;0
AE;9;0
AX;9;5519.9
MO;9;0
CL;9;0
LB;9;0
DG;9;0
Y2;9;0
Y3;9;0
YI;9;0
YQ;9;0
YS;9;0
YX;9;0
YD;9;0
BD;9;0
IV;10;0
AO;10;0
LA;10;0
UT;10;6897.43
US;10;0
BQ;10;0
BB;10;0
VD;10;0
AD;10;0
IN;10;0
GM;10;0
AE;10;0
AX;10;6690
MO;10;468.65
CL;10;0
LB;10;60882.1
DG;10;0
Y2;10;0
Y3;10;0
YI;10;0
YQ;10;0
YS;10;0
YX;10;0
YD;10;0
BD;10;0
IV;11;0
AO;11;0
LA;11;0
UT;11;10867.51
US;11;627
BQ;11;0
BB;11;0
VD;11;0
AD;11;0
IN;11;1734.95
GM;11;143.17
AE;11;0
AX;11;0
MO;11;0
CL;11;0
LB;11;217014.49
DG;11;0
Y2;11;0
Y3;11;0
YI;11;0
YQ;11;0
YS;11;0
YX;11;0
YD;11;0
BD;11;0
IV;12;0
AO;12;0
LA;12;0
UT;12;10766.97
US;12;0
BQ;12;0
BB;12;0
VD;12;0
AD;12;0
IN;12;0
GM;12;0
AE;12;0
AX;12;0
MO;12;0
CL;12;0
LB;12;180682.08
DG;12;0
Y2;12;0
Y3;12;0
YI;12;0
YQ;12;0
YS;12;0
YX;12;0
YD;12;0
BD;12;0
IV;13;0
AO;13;0
LA;13;0
UT;13;7251.38
US;13;0
BQ;13;0
BB;13;0
VD;13;0
AD;13;0
IN;13;0
GM;13;0
AE;13;0
AX;13;0
MO;13;0
CL;13;0
LB;13;7698
DG;13;7796.69
Y2;13;10581.1
Y3;13;3181.48
YI;13;13353.38
YQ;13;0
YS;13;0
YX;13;0
YD;13;0
BD;13;0
IV;14;0
AO;14;2307.8
LA;14;0
UT;14;1733.98
US;14;0
BQ;14;0
BB;14;0
VD;14;0
AD;14;2626.94
IN;14;1200
GM;14;733
AE;14;0
AX;14;0
MO;14;0
CL;14;0
LB;14;0
DG;14;299
Y2;14;0
Y3;14;0
YI;14;9910.04
YQ;14;13714.8
YS;14;3290.26
YX;14;14008.32
YD;14;488.33
BD;14;0
IV;15;10865.25
AO;15;2887.82
LA;15;0
UT;15;0
US;15;0
BQ;15;0
BB;15;0
VD;15;0
AD;15;44457.28
IN;15;0
GM;15;0
AE;15;0
AX;15;0
MO;15;0
CL;15;0
LB;15;0
DG;15;0
Y2;15;0
Y3;15;0
YI;15;0
YQ;15;0
YS;15;0
YX;15;0
YD;15;0
BD;15;0
IV;16;0
AO;16;794.59
LA;16;0
UT;16;4442.68
US;16;312.7
BQ;16;0
BB;16;0
VD;16;108031.49
AD;16;3428.87
IN;16;169943.34
GM;16;53423.95
AE;16;0
AX;16;0
MO;16;0
CL;16;3802.26
LB;16;7697.3
DG;16;0
Y2;16;0
Y3;16;0
YI;16;0
YQ;16;0
YS;16;0
YX;16;0
YD;16;0
BD;16;0
IV;17;0
AO;17;0
LA;17;0
UT;17;24955.87
US;17;0
BQ;17;0
BB;17;1399
VD;17;0
AD;17;0
IN;17;1565.2
GM;17;89481.45
AE;17;0
AX;17;0
MO;17;0
CL;17;0
LB;17;0
DG;17;0
Y2;17;0
Y3;17;0
YI;17;0
YQ;17;0
YS;17;0
YX;17;0
YD;17;0
BD;17;0
IV;18;0
AO;18;0
LA;18;0
UT;18;24002.62
US;18;0
BQ;18;0
BB;18;1517.7
VD;18;0
AD;18;4525.63
IN;18;0
GM;18;2299
AE;18;0
AX;18;0
MO;18;0
CL;18;0
LB;18;63692.62
DG;18;0
Y2;18;0
Y3;18;0
YI;18;0
YQ;18;0
YS;18;0
YX;18;0
YD;18;0
BD;18;0
IV;19;582.9
AO;19;3366.06
LA;19;0
UT;19;0
US;19;163.44
BQ;19;0
BB;19;0
VD;19;151818.52
AD;19;28854.28
IN;19;76593.14
GM;19;0
AE;19;0
AX;19;0
MO;19;0
CL;19;0
LB;19;126000.56
DG;19;0
Y2;19;0
Y3;19;0
YI;19;0
YQ;19;0
YS;19;0
YX;19;0
YD;19;0
BD;19;1474.99
IV;20;5187
AO;20;0
LA;20;0
UT;20;0
US;20;0
BQ;20;0
BB;20;0
VD;20;0
AD;20;0
IN;20;0
GM;20;0
AE;20;0
AX;20;0
MO;20;0
CL;20;305912.32
LB;20;27800
DG;20;0
Y2;20;0
Y3;20;0
YI;20;0
YQ;20;0
YS;20;0
YX;20;0
YD;20;0
BD;20;0
IV;21;0
AO;21;0
LA;21;0
UT;21;8324.34
US;21;700
BQ;21;0
BB;21;898
VD;21;160036.33
AD;21;0
IN;21;0
GM;21;5792.04
AE;21;0
AX;21;0
MO;21;0
CL;21;82315.12
LB;21;79362.66
DG;21;0
Y2;21;0
Y3;21;0
YI;21;0
YQ;21;0
YS;21;0
YX;21;0
YD;21;0
BD;21;0
IV;22;0
AO;22;0
LA;22;0
UT;22;8189.76
US;22;832.02
BQ;22;0
BB;22;0
VD;22;34212.94
AD;22;9735.26
IN;22;126446.23
GM;22;9174
AE;22;0
AX;22;0
MO;22;0
CL;22;0
LB;22;7677
DG;22;0
Y2;22;0
Y3;22;0
YI;22;0
YQ;22;0
YS;22;0
YX;22;0
YD;22;0
BD;22;3838.5
IV;23;9134.98
AO;23;0
LA;23;0
UT;23;11358.88
US;23;4240.86
BQ;23;337
BB;23;0
VD;23;0
AD;23;0
IN;23;0
GM;23;4497.97
AE;23;0
AX;23;0
MO;23;1212.84
CL;23;0
LB;23;0
DG;23;0
Y2;23;0
Y3;23;0
YI;23;0
YQ;23;0
YS;23;0
YX;23;0
YD;23;0
BD;23;0
todos;0;34827.09
todos;1;91327.28
todos;2;467071.11
todos;3;416824.3
todos;4;183716.01
todos;5;739563.37
todos;6;1046419.75
todos;7;430688.5
todos;8;390524.27
todos;9;9504.02
todos;10;74938.18
todos;11;230387.12
todos;12;191449.05
todos;13;49862.03
todos;14;50312.47
todos;15;58210.35
todos;16;351877.18
todos;17;117401.52
todos;18;96037.57
todos;19;388853.89
todos;20;338899.32
todos;21;337428.49
todos;22;200105.71
todos;23;30782.53
